Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,8.94,8.94,8.825,8.885,7.710058999999999,7780000
2016-02-02,8.855,8.95,8.74,8.78,7.618942999999999,6740800
2016-02-03,8.85,8.885,8.675,8.825,7.657992,7823800
2016-02-04,8.915,8.945,8.835,8.92,7.740429,6331800
2016-02-05,8.86,8.88,8.655,8.675,7.527829,7734400
2016-02-08,8.5,8.55,8.13,8.275,7.1807229999999995,20492000
2016-02-09,8.165,8.245,8.07,8.17,7.089608,16329200
2016-02-10,8.24,8.37,8.165,8.175,7.093947999999999,8980000
2016-02-11,8.005,8.13,7.955,8.105,7.033204,14613000
2016-02-12,8.19,8.23,7.98,8.05,6.985477,8943200
2016-02-16,8.035,8.145,8.005,8.105,7.033204,21192800
2016-02-17,8.205,8.265,8.125,8.24,7.150352000000001,31074000
2016-02-18,8.365,8.375,8.195,8.205,7.119981,14067600
2016-02-19,8.22,8.245,8.12,8.195,7.111302,10928800
2016-02-22,8.365,8.505,8.34,8.445,7.328243,12336800
2016-02-23,8.37,8.435,8.31,8.325,7.224113000000001,8722000
2016-02-24,8.285,8.43,8.25,8.42,7.306549,8416200
2016-02-25,8.305,8.455,8.3,8.435,7.319567,8242400
2016-02-26,8.465,8.48,8.325,8.445,7.328243,7740600
2016-02-29,8.25,8.47,8.245,8.41,7.297871000000001,10953400
2016-03-01,8.605,8.745,8.56,8.71,7.5582009999999995,7435000
2016-03-02,8.76,8.9,8.73,8.84,7.671009,11716600
2016-03-03,8.86,9.11,8.86,9.09,7.88795,10881200
2016-03-04,9.08,9.235,9.06,9.22,8.000759,7460800
2016-03-07,9.125,9.245,9.115,9.205,7.987742,4061000
2016-03-08,9.02,9.03,8.92,8.96,7.7751399999999995,6650000
2016-03-09,9.15,9.15,8.86,8.92,7.740429,9602800
2016-03-10,8.855,8.995,8.825,8.885,7.710058999999999,11909600
2016-03-11,8.92,8.985,8.86,8.98,7.792495,6184000
2016-03-14,8.93,9.06,8.925,9.01,7.818528999999999,6626400
2016-03-15,8.91,8.93,8.86,8.875,7.701381,5627600
2016-03-16,8.96,9.095,8.835,9.09,7.88795,5265000
2016-03-17,9.1,9.17,9.02,9.165,7.95303,5156400
2016-03-18,9.29,9.305,9.175,9.26,8.035468,5216600
2016-03-21,9.27,9.385,9.235,9.34,8.104889,6264400
2016-03-22,9.24,9.32,9.17,9.255,8.031131,6650000
2016-03-23,9.35,9.35,9.19,9.33,8.096213,8980000
2016-03-24,9.3,9.415,9.295,9.405,8.161294,6000200
2016-03-28,9.38,9.4,9.305,9.375,8.135261,4956400
2016-03-29,9.35,9.43,9.32,9.345,8.109229,8516600
2016-03-30,9.395,9.66,9.385,9.58,8.313152,10802800
2016-03-31,9.635,9.635,9.5,9.51,8.252408,6505400
2016-04-01,9.43,9.665,9.39,9.625,8.352200999999999,6791800
2016-04-04,9.745,9.745,9.615,9.625,8.352200999999999,4038200
2016-04-05,9.5,9.5,9.345,9.405,8.161294,6205400
2016-04-06,9.335,9.41,9.28,9.4,8.156956,7426200
2016-04-07,9.245,9.255,9.03,9.055,7.857578,10447200
2016-04-08,9.09,9.1,8.93,9.025,7.831542999999999,8956800
