Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,1.9,1.9,1.76,1.79,1.79,1474500
2016-02-02,1.73,1.74,1.66,1.67,1.67,1649300
2016-02-03,1.7,1.71,1.6,1.68,1.68,1274700
2016-02-04,1.7,1.75,1.66,1.72,1.72,1105800
2016-02-05,1.7,1.74,1.67,1.68,1.68,781700
2016-02-08,1.65,1.68,1.6,1.61,1.61,1123300
2016-02-09,1.58,1.63,1.55,1.56,1.56,1596800
2016-02-10,1.56,1.67,1.55,1.62,1.62,1093000
2016-02-11,1.57,1.62,1.55,1.61,1.61,1097400
2016-02-12,1.64,1.69,1.6,1.67,1.67,1567900
2016-02-16,1.7,1.75,1.7,1.74,1.74,1281000
2016-02-17,1.75,1.89,1.75,1.83,1.83,3766100
2016-02-18,1.85,1.87,1.77,1.79,1.79,1157600
2016-02-19,1.8,1.81,1.73,1.75,1.75,853500
2016-02-22,1.8,1.88,1.77,1.84,1.84,1977500
2016-02-23,1.79,1.87,1.79,1.82,1.82,794500
2016-02-24,1.83,1.86,1.76,1.86,1.86,1404100
2016-02-25,1.86,1.94,1.83,1.92,1.92,1688000
2016-02-26,1.92,2.07,1.92,2.02,2.02,3145000
2016-02-29,2.05,2.13,2.03,2.08,2.08,1820900
2016-03-01,2.1,2.14,2.05,2.07,2.07,1167000
2016-03-02,2.07,2.13,2.05,2.13,2.13,1298800
2016-03-03,2.13,2.23,2.12,2.22,2.22,2507500
2016-03-04,2.25,2.25,2.08,2.11,2.11,2855600
2016-03-07,2.02,2.06,1.9,1.98,1.98,4740200
2016-03-08,1.95,2.02,1.91,1.95,1.95,1720000
2016-03-09,1.98,1.99,1.9,1.9,1.9,2131100
2016-03-10,2.09,2.2,2.01,2.04,2.04,7387800
2016-03-11,2.1,2.11,2.0,2.04,2.04,2399200
2016-03-14,2.03,2.03,1.96,2.0,2.0,1631800
2016-03-15,1.99,2.0,1.92,1.93,1.93,1522100
2016-03-16,1.94,2.02,1.93,2.01,2.01,1543600
2016-03-17,2.01,2.09,2.01,2.04,2.04,2322200
2016-03-18,2.09,2.09,2.04,2.08,2.08,1752300
2016-03-21,2.05,2.11,2.05,2.07,2.07,1081900
2016-03-22,2.07,2.11,2.04,2.08,2.08,1087900
2016-03-23,2.06,2.08,1.94,1.95,1.95,3198400
2016-03-24,1.94,2.03,1.92,2.02,2.02,1515500
2016-03-28,2.02,2.03,1.95,2.01,2.01,969300
2016-03-29,2.0,2.14,1.96,2.08,2.08,5340700
2016-03-30,2.08,2.11,2.03,2.07,2.07,1795400
2016-03-31,2.08,2.1,2.03,2.05,2.05,935800
2016-04-01,2.05,2.06,2.0,2.04,2.04,788900
2016-04-04,2.02,2.07,2.0,2.03,2.03,700400
2016-04-05,2.0,2.04,1.98,2.0,2.0,1140800
2016-04-06,2.0,2.05,1.99,2.03,2.03,1037400
2016-04-07,2.01,2.06,1.99,2.01,2.01,946700
2016-04-08,2.02,2.05,1.98,2.0,2.0,1295000
2016-04-11,2.0,2.04,1.99,2.01,2.01,629900
2016-04-12,2.0,2.08,1.99,2.05,2.05,1657000
2016-04-13,2.04,2.09,2.02,2.05,2.05,1841400
2016-04-14,2.08,2.14,2.06,2.12,2.12,2086600
2016-04-15,2.13,2.19,2.09,2.11,2.11,2037900
2016-04-18,2.1,2.16,2.07,2.12,2.12,1346400
2016-04-19,2.11,2.14,2.08,2.1,2.1,850100
2016-04-20,2.11,2.17,2.08,2.13,2.13,1386600
2016-04-21,2.13,2.17,2.12,2.15,2.15,1195300
2016-04-22,2.15,2.25,2.15,2.22,2.22,2383400
2016-04-25,2.24,2.28,2.13,2.15,2.15,2582700
2016-04-26,2.15,2.22,2.11,2.14,2.14,1120500
2016-04-27,2.13,2.16,2.08,2.13,2.13,1226300
2016-04-28,2.11,2.12,2.04,2.05,2.05,1847800
2016-04-29,2.05,2.09,2.01,2.06,2.06,1599100
2016-05-02,2.04,2.08,2.01,2.05,2.05,896900
2016-05-03,2.04,2.04,1.99,2.01,2.01,1554400
2016-05-04,2.01,2.03,1.94,2.01,2.01,1752500
2016-05-05,2.02,2.02,1.92,1.93,1.93,1346900
2016-05-06,1.98,1.99,1.9,1.92,1.92,1610700
2016-05-09,1.9,1.96,1.9,1.93,1.93,1473400
2016-05-10,1.88,1.9,1.74,1.86,1.86,3140100
2016-05-11,1.81,1.87,1.81,1.85,1.85,874200
2016-05-12,1.84,1.85,1.77,1.8,1.8,1182400
2016-05-13,1.82,1.85,1.77,1.79,1.79,985800
2016-05-16,1.79,1.84,1.78,1.81,1.81,1181500
2016-05-17,1.8,1.84,1.76,1.79,1.79,1092000
2016-05-18,1.78,1.81,1.75,1.76,1.76,947800
2016-05-19,1.75,1.77,1.71,1.71,1.71,1017500
2016-05-20,1.71,1.74,1.65,1.68,1.68,2326600
2016-05-23,1.68,1.78,1.68,1.76,1.76,1241800
2016-05-24,1.77,1.82,1.72,1.75,1.75,1315200
2016-05-25,1.75,1.78,1.73,1.78,1.78,757500
2016-05-26,1.78,1.82,1.78,1.79,1.79,810300
2016-05-27,1.8,1.84,1.77,1.82,1.82,640800
2016-05-31,1.81,1.95,1.79,1.92,1.92,1793700
2016-06-01,1.91,1.92,1.82,1.87,1.87,1669400
2016-06-02,1.83,1.89,1.83,1.85,1.85,868800
2016-06-03,1.84,1.91,1.84,1.91,1.91,770000
2016-06-06,1.91,1.95,1.91,1.95,1.95,1206700
2016-06-07,1.95,2.04,1.9,1.92,1.92,3697500
2016-06-08,1.91,1.95,1.89,1.92,1.92,980700
2016-06-09,1.9,1.9,1.85,1.85,1.85,950600
2016-06-10,1.85,1.85,1.8,1.8,1.8,749000
2016-06-13,1.8,1.82,1.75,1.76,1.76,1068000
