Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,6.34,6.59,6.25,6.48,6.48,562800
2016-02-02,6.41,6.5,6.03,6.24,6.24,494200
2016-02-03,6.36,6.93,6.33,6.87,6.87,816600
2016-02-04,7.13,7.84,7.13,7.19,7.19,1148000
2016-02-05,7.0,7.47,6.82,7.43,7.43,939400
2016-02-08,7.71,8.3,7.51,7.54,7.54,1397100
2016-02-09,7.86,7.87,7.09,7.19,7.19,1189100
2016-02-10,7.19,7.78,7.05,7.76,7.76,1069900
2016-02-11,8.43,8.47,7.74,7.8,7.8,1412100
2016-02-12,7.52,7.91,7.0,7.81,7.81,846300
2016-02-16,7.78,8.22,7.6,7.67,7.67,1020900
2016-02-17,7.75,8.03,7.65,7.84,7.84,555400
2016-02-18,7.76,8.58,7.76,8.51,8.51,1137700
2016-02-19,8.4,8.75,8.29,8.5,8.5,920900
2016-02-22,8.15,8.79,8.12,8.75,8.75,1237100
2016-02-23,8.87,9.07,8.59,8.69,8.69,853700
2016-02-24,8.97,9.3,8.61,8.82,8.82,1175500
2016-02-25,8.75,9.17,8.65,9.01,9.01,734300
2016-02-26,8.84,9.18,8.51,8.68,8.68,833700
2016-02-29,8.85,9.24,8.8,9.21,9.21,921800
2016-03-01,9.32,9.41,8.82,9.06,9.06,1065400
2016-03-02,9.1,10.09,9.02,10.01,10.01,1703800
2016-03-03,10.02,11.32,9.94,11.05,11.05,1954000
2016-03-04,11.49,12.77,11.05,11.26,11.26,4172600
2016-03-07,11.7,12.37,11.31,11.44,11.44,2255800
2016-03-08,12.02,12.03,10.53,11.05,11.05,1834700
2016-03-09,10.84,11.88,10.5,11.66,11.66,1460800
2016-03-10,11.8,12.34,11.59,11.8,11.8,1286400
2016-03-11,11.77,12.03,11.31,11.76,11.76,884700
2016-03-14,11.87,11.92,10.5,10.53,10.53,2267600
2016-03-15,10.4,10.47,9.64,10.38,10.38,1628400
2016-03-16,10.3,11.18,10.0,11.12,11.12,1384100
2016-03-17,11.61,11.7,10.7,10.73,10.73,1251700
2016-03-18,10.73,11.04,10.55,10.83,10.83,885900
2016-03-21,10.81,11.38,10.76,10.96,10.96,706700
2016-03-22,11.25,11.29,10.7,10.93,10.93,564500
2016-03-23,10.5,10.75,10.07,10.24,10.24,941800
2016-03-24,10.33,10.69,10.0,10.65,10.65,653100
2016-03-28,10.7,10.75,10.09,10.32,10.32,592900
2016-03-29,10.4,11.32,10.34,11.15,11.15,835600
2016-03-30,11.15,11.15,10.65,10.92,10.92,577800
2016-03-31,11.07,11.21,10.84,10.96,10.96,538300
2016-04-01,10.6,11.59,10.55,11.59,11.59,959800
2016-04-04,11.6,11.68,11.11,11.31,11.31,723800
2016-04-05,11.64,12.48,11.55,12.32,12.32,1587500
2016-04-06,12.2,12.4,11.81,12.39,12.39,1029200
2016-04-07,12.58,13.19,12.51,13.08,13.08,1514400
2016-04-08,13.11,14.26,13.1,13.97,13.97,1774700
