2020-10-23,IPOE,Social Capital Hedosophia Holdings Corp. V,25.14,+4.86,+23.96%,36435000,7524000,2530000000
2020-10-23,TSLA,"Tesla, Inc.",793.53,-41.90,-5.02%,34991000,43992000,752188000000
2020-10-23,CCIV,Churchill Capital Corp IV,22.88,+0.55,+2.46%,33426000.000000004,19140000,5920000000
2020-10-23,INO,"Inovio Pharmaceuticals, Inc.",12.75,+1.80,+16.44%,33384000,12914000,2608000000
2020-10-23,RIG,Transocean Ltd.,3.36,+0.1500,+4.67%,32314999.999999996,41710000,2065000000
2020-10-23,AG,First Majestic Silver Corp.,18.12,+1.26,+7.47%,30691000,8401000,3978000000
2020-10-23,FB,"Facebook, Inc.",258.33,-6.67,-2.52%,30389000,19687000,735639000000
2020-10-23,FUBO,fuboTV Inc.,42.25,+2.40,+6.02%,30111000,20145000,4599000000
2020-10-23,TLRY,"Tilray, Inc.",18.1,-0.60,-3.23%,29194000,28751000,2864000000
2020-10-23,SPCE,"Virgin Galactic Holdings, Inc.",44.29,+1.18,+2.74%,28648000,17944000,10379000000
2020-10-23,NNDM,Nano Dimension Ltd.,13.74,-0.61,-4.25%,28163000,30737000,2365000000
2020-10-23,CMCSA,Comcast Corporation,49.57,-2.03,-3.93%,27480000,18536000,226799000000
2020-10-23,C,Citigroup Inc.,57.99,-1.84,-3.08%,27078000,23094000,120741000000
2020-10-23,BBD,Banco Bradesco S.A.,4.54,-0.1400,-2.99%,26553000,26637000,38010000000
2020-10-23,ABEV,Ambev S.A.,2.79,-0.1100,-3.79%,26236000,24816000,44237000000
2020-10-23,VZ,Verizon Communications Inc.,54.75,-0.62,-1.12%,26231000,16942000,226555000000
2020-10-23,SRNE,"Sorrento Therapeutics, Inc.",12.66,+0.43,+3.52%,26589000,17842000,3465000000
2020-10-23,NCLH,Norwegian Cruise Line Holdings Ltd.,22.65,-1.51,-6.25%,26086000,23642000,6243000000
2020-10-23,SWN,Southwestern Energy Company,3.77,+0.0200,+0.53%,25959000,19880000,2543000000
